Predicted Label,Actual Label,Message,Reasoning,Sha,Source,ParentSha,Parent2Sha,IsMerge,AuthorId,AuthorDateUtc,CommitterId,CommitterDateUtc,Work Items,Total Files,Modified Files,Added Files,Deleted Files,Total Lines,Net Lines,Added Lines,Deleted Lines,Has Added Files,Has Deleted Files,DayOfWeek,Month,Quarter,Year,Hour,TimeOfDay,Is Weekend,Message Length,Word Count
False,FALSE,Merge pull request #2836 from AbhitejJohn/fixtypo,The commit message does not explicitly mention a bugfix further context needed,b611a4a5401468b7734d2b009e23889bae3818d3,dotnetinteractive,d8b80c3010319df99c115b8b0eaf622e9ced603d,340acfc3d824d5a6c4238cc20e6caf4552a67b1c,True,87,2023-03-14 18:39:02-04:00,2,2023-03-14 22:39:02,1,2,2,0,0,188,0,2,2,False,False,Tuesday,March,1,2023,18,Afternoon,False,49,6
False,FALSE,Update dependencies from https://github.com/dotnet/arcade build 20220203.1 (#1896),Updating dependencies is a maintenance task and does not directly imply fixing a bug.,6fc6e039aded553dc514c4b2e8326f67d977ac4a,dotnetinteractive,281d185e298093907fd2603e16477752961e6560,,False,16,2022-02-07 08:56:44-05:00,2,2022-02-07 13:56:44,1,4,4,0,0,377,1,6,5,False,False,Monday,February,1,2022,8,Morning,False,82,7,
False,FALSE,Merge pull request #717 from dotnet/darc-master-32038347-c786-453c-9dfd-fb2811d5fe01,Merge pull request refers to a change request but doesn't specify if it fixes a bug,d7849eeffb385cc7040d63cce4d53ba4bec2e13a,dotnetinteractive,f5a8f12d5b85f3a8d5d5ee29720d11c272584a6a,0b79eb1a1b060ac5a8ffe0757cdd0c95f4e1e2ef,True,6,2020-01-02 14:34:44-05:00,2,2020-01-02 19:34:44,1,2,2,0,0,22,0,3,3,False,False,Thursday,January,1,2020,14,Afternoon,False,84,6,
False,FALSE,Update dependencies from https://github.com/dotnet/arcade build 20200330.5,Updating dependencies typically does not fix a known bug but ensures the application has up-to-date libraries.,9dc101cfa98257f3111175192ec32f08d63d962e,dotnetinteractive,8b39c0b5d8cb71b78af766651450c604f218341a,,False,23,2020-03-31 08:18:45-04:00,14,2020-03-31 14:21:47,0,11,11,0,0,1428,77,130,53,False,False,Tuesday,March,1,2020,8,Morning,False,74,6,
False,FALSE,js kernel can evaluate javascript code,"Evaluating JavaScript is a functionality, not a fix for bugs",f801cfeb76d4c4f78f87cbf8ed75e075b7369f4f,dotnetinteractive,652948d34a3c1f7fcb8d437b0f1093de86518562,,False,10,2022-11-01 15:08:07-04:00,14,2022-11-03 21:42:34,0,2,2,0,0,402,65,68,3,False,False,Tuesday,November,4,2022,15,Afternoon,False,38,6,
False,FALSE,Update dependencies from https://github.com/dotnet/arcade build 20200805.7,Updating dependencies is a general maintenance task and does not specifically indicate a bug fix.,3c3cb20ba5952a6ac824e21b584218aae8df3fb6,dotnetinteractive,558aa3d5d55a6f10f0b7d3a619fdb82f18724a5e,,False,23,2020-08-06 08:18:11-04:00,14,2020-08-06 13:46:59,0,5,5,0,0,1010,36,43,7,False,False,Thursday,August,3,2020,8,Morning,False,74,6,
False,FALSE,add copyright header,Adding a copyright header is related to legal compliance rather than fixing bugs,0659ee0abe8e293056a19759f04dc19405d9e7fb,dotnetinteractive,1c1d36fdba787e7d340742d693b3fe6788d4bfa6,,False,10,2020-02-11 08:21:16-05:00,14,2020-02-11 18:13:06,0,2,2,0,0,148,6,6,0,False,False,Tuesday,February,1,2020,8,Morning,False,20,3,
False,FALSE,refactor,Refactoring is an operation focused on improving code structure and does not inherently aim at fixing bugs.,46ca3ae6dfe5b11b0878c74b59afbbc96ee55594,dotnetinteractive,d3c09d0d258b8e06d105c9917d3f77f571300c5f,,False,10,2021-09-24 07:08:24-04:00,14,2021-09-24 14:01:35,0,1,1,0,0,133,1,3,2,False,False,Friday,September,3,2021,7,Morning,False,8,1,
False,FALSE,use int?,A single line of code with no context indicates an action not necessarily related to bug fixing,92eedd982198c132296f983bf4c35e33e4ec195c,dotnetinteractive,b9f02b0f4a2c86edb149c0c07cc341ed5555a61f,,False,13,2019-06-04 17:51:38-04:00,14,2019-06-06 19:57:07,0,4,4,0,0,918,0,5,5,False,False,Tuesday,June,2,2019,17,Afternoon,False,8,2,
False,FALSE,Localized file check-in by OneLocBuild Task: Build definition ID 743: Build ID 2440278,"The commit message refers to a task and build process, not solving a code issue.",6df17430d7cff7a4be9ba6dd987a81df1225b98f,dotnetinteractive,8750ae3d12274e8a6c4fa19f5d09ac12dda578a0,,False,7,2024-04-29 04:12:00-04:00,14,2024-04-29 16:47:50,0,13,13,0,0,143,39,52,13,False,False,Monday,April,2,2024,4,Night,False,86,13,
False,FALSE,improving the lifespan of the universe,"The subject matter is unrelated to software or code, it appears metaphorical or non-technical.",8197088fd4b4afccfaee58a8020675b62a399013,dotnetinteractive,ebc7b5f027331ba1b0483a1da481c5f43a92a7d0,,False,10,2021-08-10 17:32:47-04:00,14,2021-08-18 16:48:46,0,1,1,0,0,81,-1,1,2,False,False,Tuesday,August,3,2021,17,Afternoon,False,38,6
False,FALSE,Merge pull request #200 from jonsequitur/application-json-formatting,The commit message does not provide enough information to determine whether it's about fixing a bug or introducing new features.,5bce4637dbbd38f3c5bd7a2d519f73fa0303aa0b,dotnetinteractive,a7570f810b506e8bc9ba864028b82f54c00499f2,01a30e4b83b1ce9b6587f13cd0a66e5a5816415e,True,6,2020-02-25 17:43:14-05:00,2,2020-02-25 22:43:14,1,12,8,4,0,1847,168,257,89,True,False,Tuesday,February,1,2020,17,Afternoon,False,68,6,
False,FALSE,Adding PowerShell Notebook Examples (#117),The commit message suggests adding new content or examples rather than fixing a bug.,6e9d0d8cd36e192d69062f9f3b9cf37d08f3faa0,dotnetinteractive,b2b0b9fb63950b9b78f26875adea16fd7d7c1aab,,False,22,2020-02-04 15:54:23-05:00,2,2020-02-04 20:54:23,1,2,0,2,0,208,208,208,0,True,False,Tuesday,February,1,2020,15,Afternoon,False,42,5,
False,FALSE,"update magic command, extension docs & clock sample",Updating documentation and samples does not inherently mean addressing a bug.,f619c684d8aa0b8a672d2a9b35bfd509922e07d2,dotnetinteractive,edf24072e296ab1b46e9d4dbb997808f0e70fe7b,,False,6,2023-01-19 20:23:06-05:00,14,2023-01-20 21:08:35,0,9,8,1,0,1388,201,428,227,True,False,Thursday,January,1,2023,20,Evening,False,51,8,
False,TRUE,Tolerance of punctuation for leading request (#3456),This statement refers to handling input rather than fixing a bug,1b8be861ae17494ced27bcd3ea47d0378624d2d6,dotnetinteractive,e3f0da06c37619cdab465aa1a423f72ed5c08933,,False,102,2024-02-16 14:03:57-05:00,2,2024-02-16 19:03:57,1,2,2,0,0,1228,56,57,1,False,False,Friday,February,1,2024,14,Afternoon,False,52,7,
False,FALSE,wait for any in-flight sdk acquisitions before checking the version (#1190),This commit is about workflow and not related to fixing a bug,51f968e65524ec25eac6b4f1f3cd5336b4a4f7cd,dotnetinteractive,dda65675c5e8f116285022c2a16f976dce00b7a9,,False,8,2021-03-26 13:48:11-04:00,2,2021-03-26 17:48:11,1,1,1,0,0,248,18,19,1,False,False,Friday,March,1,2021,13,Afternoon,False,75,11,
False,FALSE,updated notebooks got repo metrics,The commit refers to obtaining repository metrics rather than fixing a bug.,6ab0cb0fd7234e0e1e6e0bef672e1d60408ac24a,dotnetinteractive,ccc4df337e1cdcc9c8ad498824fece1853436bc1,,False,10,2020-06-11 08:36:17-04:00,14,2020-06-11 20:39:24,0,2,2,0,0,854,84,109,25,False,False,Thursday,June,2,2020,8,Morning,False,34,5,
False,FALSE,add action plan,"The phrase 'action plan' usually refers to strategic planning for future actions, rather than addressing a current bug.",73d4a1cb83b434cd3b1ae0e417c282e7459c93cc,dotnetinteractive,06f8a869c2488788fc5c080779155b5175fc44d4,,False,10,2020-03-24 18:32:36-04:00,14,2020-03-25 21:33:02,0,2,1,1,0,75,19,21,2,True,False,Tuesday,March,1,2020,18,Afternoon,False,15,3,
False,FALSE,is Artur right???,The provided input does not contain enough context or specific information about the code changes,dec07767712e96b3701ab8e95a8102edab952a03,dotnetinteractive,69ca13a706e1cdcfe664bf982da3e6c0d26bf7a1,,False,10,2021-05-21 07:05:42-04:00,14,2021-06-02 23:49:15,0,8,6,1,1,631,17,154,137,True,True,Friday,May,2,2021,7,Morning,False,17,3,
False,FALSE,add internal repo notes (#460),The statement suggests documentation update rather than fixing an issue,f8a10f964092dccfe233ff3bc390090cbc35b5dd,dotnetinteractive,a2bc29654a56b4f064206a6a579013b7fa0aa221,,False,8,2020-05-21 15:37:01-04:00,2,2020-05-21 19:37:01,1,1,0,1,0,23,23,23,0,True,False,Thursday,May,2,2020,15,Afternoon,False,30,5,
False,FALSE,add support for response message,Adding features rather than fixing bugs,50606295ce2133733e408a2ad43d15ddd8c6942e,dotnetinteractive,a6af03b6467b8ccbc01d22d66e9c2c8259d8551c,,False,10,2019-06-12 18:33:54-04:00,14,2019-06-17 23:09:35,0,5,5,0,0,385,49,74,25,False,False,Wednesday,June,2,2019,18,Afternoon,False,32,5,
False,FALSE,Publish interactive packages (#427),"The commit mentions publishing, likely involving features or documentation updates, rather than fixing a bug.",cdf3c3329cc0bc0c0cf3bcfd41c92f969af93b52,dotnetinteractive,354c3abfa0b13b43032d138c81dd6bb81330219f,,False,13,2019-09-17 18:58:01-04:00,2,2019-09-17 22:58:01,1,28,23,5,0,1461,157,211,54,True,False,Tuesday,September,3,2019,18,Afternoon,False,35,4,
False,FALSE,Allow the user to specify the port,Not related to solving an existing problem or known bug rather it's about adding a new feature for customization.,1d2477e64352738c97318ec9fcae77e328fe9811,dotnetinteractive,43c287aab5eed1065d48eb0ffec73c33237d47be,,False,13,2019-05-30 17:16:45-04:00,14,2019-06-06 19:57:07,0,4,4,0,0,1115,14,19,5,False,False,Thursday,May,2,2019,17,Afternoon,False,34,7
False,FALSE,isolated folders,The commit message does not indicate a fix for an existing problem and seems more aligned with project structuring or organization.,06f8a869c2488788fc5c080779155b5175fc44d4,dotnetinteractive,4a06a405d0a99683a450c25af19f74557ce30822,,False,10,2020-03-24 17:39:20-04:00,14,2020-03-25 21:33:02,0,5,5,0,0,158,0,3,3,False,False,Tuesday,March,1,2020,17,Afternoon,False,16,2,
False,FALSE,update icons,Updating icons is typically related to user interface changes rather than fixing bugs.,6820cb7368fb4e7ca8595f890c9e9e604a321877,dotnetinteractive,ff15cb3ae196f03a73d8e158908371b561058c3f,,False,10,2022-09-27 08:13:43-04:00,14,2022-09-27 20:28:46,0,3,3,0,0,171,0,0,0,False,False,Tuesday,September,3,2022,8,Morning,False,12,2,
False,FALSE,Merge pull request #1710 from brettfo/merge-release-dotnet6-to-main,The commit message does not specify any bugs being fixed,adfeade0773168de1ea49a6d5972efd5806167fb,dotnetinteractive,b0afbdc47dec91e62b0c5cb587a0f2c24242eca8,5e0b3b38d019a1ac145d88f6ee92968d1aad5415,True,8,2021-11-09 16:03:29-05:00,2,2021-11-09 21:03:29,1,56,55,1,0,5048,63,300,237,True,False,Tuesday,November,4,2021,16,Afternoon,False,67,6,
False,FALSE,Update README.md,Updating documentation does not directly fix bugs in the code,49dd92d520e174fe8155479f3857390e8169b2f9,dotnetinteractive,8ae8dca19cde5de6a1fe404037b78181ffb30d00,,False,5,2019-05-04 12:46:15-04:00,2,2019-05-04 16:46:15,0,1,1,0,0,73,0,1,1,False,False,Saturday,May,2,2019,12,Morning,True,16,2,
False,FALSE,debounce all language service commands by type and all on execute,Debouncing in itself is an optimization technique rather than a fix for bugs.,e73aa2ef10ef6691684397feed9da27b8008d63d,dotnetinteractive,9d658bd6e73fb050f2d7c5edeba6bfd8ac519f6c,,False,8,2021-04-09 17:35:01-04:00,14,2021-04-10 00:10:57,0,13,13,0,0,5296,45,102,57,False,False,Friday,April,2,2021,17,Afternoon,False,65,11,
False,FALSE,Update readme.md,Updating documentation does not imply fixing a bug in the code,618c32b5ace75b938efadfb22bf9a3f14171e0fa,dotnetinteractive,dda1971b4976a643a34d056c1053aa6c1f1db320,,False,10,2023-08-24 13:25:12-04:00,2,2023-08-24 17:25:12,0,1,1,0,0,47,0,1,1,False,False,Thursday,August,3,2023,13,Afternoon,False,16,2,
False,FALSE,adding html fotmatting (#2544),The commit is related to code styling or enhancement and not explicitly a bug fix.,ffdfe0472eb092844d780bdec9ec7a5bf36ee921,dotnetinteractive,9c08865d4fca112a6f38e47816e24380f0d68eb8,,False,10,2022-12-02 17:45:06-05:00,2,2022-12-02 22:45:06,1,3,3,0,0,529,106,113,7,False,False,Friday,December,4,2022,17,Afternoon,False,30,4,
False,FALSE,Update README.md,Updating documentation does not fix a code issue,7327f409121aa6d4368f9a5562c1bdbe496b105d,dotnetinteractive,dfbe28c5d0f85e7f8bede93dbcec17862f2eb387,,False,6,2020-05-18 21:43:47-04:00,2,2020-05-19 01:43:47,0,1,1,0,0,106,2,2,0,False,False,Monday,May,2,2020,21,Evening,False,16,2,
False,FALSE,cleanup public api surface,The commit message indicates refactoring or improving the API's maintainability rather than fixing a bug.,0cb9727131bc9a41ac84ebe3b254b5dad550c59e,dotnetinteractive,4efd7f9bc892542ca35b12eb748754fb2c03b0ee,,False,10,2023-04-28 11:49:54-04:00,14,2023-04-28 16:43:44,0,9,8,1,0,1859,14,50,36,True,False,Friday,April,2,2023,11,Morning,False,26,4,
False,FALSE,Update variable-sharing.md,Updating documentation is unrelated to fixing bugs in the code,68e7951558c8650d67aa36a9a0bb5bba5559d2ab,dotnetinteractive,bea9daa49e1d4725cfb5048e32fd6a3b463afc59,,False,6,2023-03-15 00:49:43-04:00,2,2023-03-15 04:49:43,0,1,1,0,0,142,0,1,1,False,False,Wednesday,March,1,2023,0,,False,26,2,
False,FALSE,Update setup-rapbian.sh,Updating scripts is usually for maintenance or functionality improvements and doesn't imply fixing a bug,54a0837dcf267a9475c55c79f585fc9df1d4ba30,dotnetinteractive,8977e1001581af325eee488219127107b618ecaf,,False,10,2020-09-01 10:41:22-04:00,2,2020-09-01 14:41:22,0,1,1,0,0,91,-2,1,3,False,False,Tuesday,September,3,2020,10,Morning,False,23,2,
False,FALSE,Merge pull request #614 from msynk/patch-4,The commit merge information does not provide details on the nature of changes,4c8975edad9ad07ad9847be9c7fc7da638286af0,dotnetinteractive,bb9b92207cb8db98d54f290adc47bf69702985af,d93da077235bf5c5c07917d1d8f2f915f92a0bdb,True,10,2019-11-08 07:50:52-05:00,2,2019-11-08 12:50:52,1,1,1,0,0,28,0,2,2,False,False,Friday,November,4,2019,7,Morning,False,42,6,
False,FALSE,cleanup,The term 'cleanup' is too vague and cannot be directly associated with fixing bugs without additional context,72c48ac60ef0f3041c19b3729c92754702ead9a8,dotnetinteractive,16e49726e773b3d83e9ec34cc4ccbf808642cd61,,False,66,2021-10-12 19:34:48-04:00,14,2021-10-13 16:54:52,0,3,3,0,0,648,53,71,18,False,False,Tuesday,October,4,2021,19,Evening,False,7,1,
False,FALSE,Add comment,Commenting code is for clarity and does not fix bugs,858a45d3d35b426cd258184ca5a4f199e6097045,dotnetinteractive,d2df2cf2ab036f4bda1cee6872f800d5ff861d88,,False,20,2020-03-04 01:46:10-05:00,14,2020-03-04 17:00:35,0,1,1,0,0,227,6,7,1,False,False,Wednesday,March,1,2020,1,Night,False,11,2,
False,FALSE,update for the new edit api,The commit message suggests updates or additions rather than fixing an issue,85f5bffa97562efc44bf676f930b81999e4b7519,dotnetinteractive,3673716dba0b05575c757ce16f19db27a708e6a4,,False,14,2020-09-14 05:44:57-04:00,14,2020-09-15 08:28:06,0,3,3,0,0,14417,2,26,24,False,False,Monday,September,3,2020,5,Night,False,27,6,
False,FALSE,improve #!value docs,Improvement of documentation indicates development progress but is not necessarily fixing a bug,f72ed2eadceaaedaa1ec9dc8f3d7a6571890c72e,dotnetinteractive,03628bea47f098fe695cb3f9e0eb69ee0b05236b,,False,6,2020-08-10 21:28:44-04:00,6,2020-08-11 13:42:31,0,3,2,1,0,472,107,148,41,True,False,Monday,August,3,2020,21,Evening,False,20,3,
False,FALSE,Merge pull request #659 from jonsequitur/rename-Rendering,"The commit message does not specify a bugfix; additionally, the context suggests it might be related to renaming functionality.",c53c415a4b2e38cb75c81b0c1a836832d2827360,dotnetinteractive,2f2b5092eb9eb1e60ca3c8f7d901ae2398b4ab01,a62ee2756bbe83a444c88a7c39070d2f24a3c92d,True,6,2019-11-21 14:12:29-05:00,2,2019-11-21 19:12:29,1,76,75,1,0,9645,64,166,102,True,False,Thursday,November,4,2019,14,Afternoon,False,57,6,
False,FALSE,Also pack wasmcoderunner (#376),The commit message 'wasmcoderunner' does not indicate a known issue or bug fix.,d31d2ee613acb216ff678d6283143f3fd6a2382b,dotnetinteractive,1c7449a9adaf6b0e9ad7800284a696d22bef8583,,False,12,2019-08-16 13:24:08-04:00,2,2019-08-16 17:24:08,1,1,1,0,0,16,3,4,1,False,False,Friday,August,3,2019,13,Afternoon,False,31,4,
False,FALSE,add support for calculating centroid of a list of vectors,The commit message indicates adding a new functionality rather than fixing an existing bug.,e8d858c208006c8560d1df2d9dca837a8f0a49f0,dotnetinteractive,09783b2d04b91231fd7f3998dcbb22f40d7b3578,,False,10,2023-11-03 13:49:15-04:00,14,2023-11-07 20:49:26,0,2,0,2,0,42,42,42,0,True,False,Friday,November,4,2023,13,Afternoon,False,57,10,
False,FALSE,Update dependencies from https://github.com/dotnet/arcade build 20200224.3,Updating dependencies is a common practice for maintaining code and doesn't necessarily relate to fixing bugs.,a7570f810b506e8bc9ba864028b82f54c00499f2,dotnetinteractive,c5bbc8428916e0922a68fccc2f108818dd530ec6,,False,23,2020-02-25 08:21:23-05:00,14,2020-02-25 16:02:30,0,2,2,0,0,22,0,3,3,False,False,Tuesday,February,1,2020,8,Morning,False,74,6,
False,FALSE,kql and sql discoverabilty improvements,A typo and topic suggest work on documentation or tooling rather than fixing an existing bug,3f48300adcf8c169f8e9c461f8ccd128989bf279,dotnetinteractive,ddeef7f2f15c044d0381a930917d43e0699f82f5,,False,10,2022-11-29 06:58:11-05:00,14,2022-11-29 15:53:14,0,8,7,1,0,2143,137,175,38,True,False,Tuesday,November,4,2022,6,Night,False,39,5,
False,FALSE,add copyright headers,Adding copyright information is unrelated to fixing bugs,fadf1f382898e6c1cddf65ff31b2560e66ce8037,dotnetinteractive,d92a0a6d50fd0cdabe34361c7c7f4722ccd59b56,,False,10,2020-02-10 17:16:51-05:00,14,2020-02-10 22:43:13,0,4,4,0,0,224,16,19,3,False,False,Monday,February,1,2020,17,Afternoon,False,21,3,
False,FALSE,Update dependencies from https://github.com/dotnet/arcade build 20230411.2 (#2908),Updating dependencies is typically unrelated to fixing bugs in the existing codebase.,8374135ca52741d1f9d3c2bbfe98f0a643001fd8,dotnetinteractive,f0f53987991c41754c3d0055d0bd4e19c5762d2d,,False,16,2023-04-12 15:10:27-04:00,2,2023-04-12 19:10:27,1,3,3,0,0,169,0,6,6,False,False,Wednesday,April,2,2023,15,Afternoon,False,82,7,
False,FALSE,Update publish-npm.yml,Updating configuration files does not fix existing code issues,5e1b5fdaae2a6ec0a3bc036e53cda1b413ff234f,dotnetinteractive,0de4474902dda125860622fd94d71481530727f1,,False,10,2022-11-15 10:05:05-05:00,2,2022-11-15 15:05:05,0,1,1,0,0,40,0,1,1,False,False,Tuesday,November,4,2022,10,Morning,False,22,2,
False,FALSE,clean up,Cleaning code is generally for code maintainability and does not specifically imply fixing bugs.,6362e3eac40ba0b2c493b2fec98ab0706a7d5ae2,dotnetinteractive,05be89a95208f4a30bed423dace63864b9b3eadc,,False,10,2020-03-31 12:53:43-04:00,14,2020-03-31 23:52:26,0,1,1,0,0,408,-2,0,2,False,False,Tuesday,March,1,2020,12,Morning,False,8,2,
False,FALSE,Merge pull request #630 from pgovind/DataFrameSample_1,A merge pull request does not specify what was fixed,d0823143ca77890e2fe866b19ae99d44e590f084,dotnetinteractive,c7a7b14bc4bfe669c3504cd55d6444ae41c31fef,f71544e9fa195addf19cb0b425e14f3ee61d3c6c,True,6,2019-11-12 15:52:23-05:00,2,2019-11-12 20:52:23,1,2,2,0,0,1006,-2,2,4,False,False,Tuesday,November,4,2019,15,Afternoon,False,54,6,
False,FALSE,add default implementation,Default implementations are typically for completing the code but aren't directly fixing bugs.,69fe32aca206043c2d79978a795b2627ad6f25b8,dotnetinteractive,fe3c87530e0ae4b584a7a2bdcc833582934a0ced,,False,68,2021-10-27 19:51:59-04:00,14,2021-10-28 23:59:52,0,2,1,1,0,172,108,134,26,True,False,Wednesday,October,4,2021,19,Evening,False,26,3,
False,FALSE,add SqlToolsService reference,"Adding references is part of project setup or functionality enhancement, not inherently fixing bugs.",fd1471f2c063ec4a2c266b686a0df969a4f0c360,dotnetinteractive,18db02485e2ab5f9d55d0847326e3c2105fec131,,False,6,2021-02-05 12:18:53-05:00,6,2021-02-05 18:04:02,0,1,1,0,0,86,1,1,0,False,False,Friday,February,1,2021,12,Morning,False,29,3,
False,TRUE,missing file,A missing file typically indicates an incomplete or absent component rather than a bug in existing functionality,94848df6fcd629d31f9b74ea684fad56457961d8,dotnetinteractive,5a88a811ae878fd668dfc994c5d64d6c55729008,,False,14,2023-04-12 03:41:52-04:00,14,2023-04-12 07:42:28,0,1,1,0,0,54,-1,1,2,False,False,Wednesday,April,2,2023,3,Night,False,12,2,
False,FALSE,Minor logging changes.,The term 'minor' implies insignificant change and does not necessarily indicate fixing a known bug in the code.,5b7db135e2b4bac54ef52f820965046167110c0d,dotnetinteractive,f9f4c6e3b9b40dcf9841b69df8bac085ce4e65a7,,False,88,2023-06-08 03:51:03-04:00,89,2023-06-08 10:30:47,0,2,2,0,0,487,-1,2,3,False,False,Thursday,June,2,2023,3,Night,False,22,3,
False,FALSE,update api,Updating an API could be for backward compatibility or introducing new features without necessarily fixing bugs,718cfa6675ed4aa129c80a714bc9418a06255791,dotnetinteractive,8efa118c917f06680ecd2ea4e07603b8f929db78,,False,10,2020-09-02 14:44:10-04:00,14,2020-09-04 18:49:30,0,1,1,0,0,185,0,1,1,False,False,Wednesday,September,3,2020,14,Afternoon,False,10,2,
False,FALSE,R: rename,Hardcoded for developer convenience without mentioning code clarity or maintenance issues,478e8d64cfdfc0127270ce6ff5a096e967460eaf,dotnetinteractive,8b6bb84c8845a2eb09960f2fbbba71d3b5c9e415,,False,6,2020-03-12 20:49:58-04:00,6,2020-03-13 23:39:21,0,1,1,0,0,72,0,0,0,False,False,Thursday,March,1,2020,20,Evening,False,9,2,
False,FALSE,Update README.md,Updating documentation does not fix code issues,9b11968d9369d8486330462c41ff96ba2c9d56bb,dotnetinteractive,52ec5f438507fbff17a02b9f901d198a37152a2b,,False,6,2020-10-15 15:54:44-04:00,2,2020-10-15 19:54:44,0,1,1,0,0,113,0,3,3,False,False,Thursday,October,4,2020,15,Afternoon,False,16,2,
